,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
0,Aquaman ,PG,"Action; 
Adventure; 
Fantasy",21 December 2018,7.6,James Wan,Jason Momoa;Amber Heard;Willem Dafoe;Patrick Wilson;Nicole Kidman;Dolph Lundgren;Yahya Abdul-Mateen II;Temuera Morrison;Ludi Lin;Michael Beach;Randall Park;Graham McTavish;Leigh Whannell;Tainui Kirkwood;Tamor Kirkwood,160000000,143,556815000
1,Spider-Man: Into the Spider-Verse ,PG,,14 December 2018,8.7,,Shameik Moore;Jake Johnson;Hailee Steinfeld;Mahershala Ali;Brian Tyree Henry;Lily Tomlin;Luna Lauren Velez;Zoë Kravitz;John Mulaney;Kimiko Glenn;Nicolas Cage;Kathryn Hahn;Liev Schreiber;Chris Pine;Natalie Morales,90000000,117,143949916
2,Bumblebee ,PG,"Action; 
Adventure; 
Sci-Fi",21 December 2018,7.3,Travis Knight,Hailee Steinfeld;Jorge Lendeborg Jr.;John Cena;Jason Drucker;Pamela Adlon;Stephen Schneider;Ricardo Hoyos;John Ortiz;Glynn Turman;Len Cariou;Kollin Holtz;Gracie Dzienny;Fred Dryer;Isabelle Ellingson;Mika Kubo,135000000,114,71624958
3,Bird Box ,,"Drama; 
Horror; 
Sci-Fi",21 December 2018,6.8,Susanne Bier,Sandra Bullock;Trevante Rhodes;John Malkovich;Sarah Paulson;Jacki Weaver;Rosa Salazar;Danielle Macdonald;Lil Rel Howery;Tom Hollander;Machine Gun Kelly;BD Wong;Pruitt Taylor Vince;Vivien Lyra Blair;Julian Edwards;Parminder Nagra,,124,
4,Mary Poppins Returns ,G,"Comedy; 
Family; 
Fantasy",19 December 2018,7.3,Rob Marshall,Emily Blunt;Lin-Manuel Miranda;Ben Whishaw;Emily Mortimer;Pixie Davies;Nathanael Saleh;Joel Dawson;Julie Walters;Meryl Streep;Colin Firth;Jeremy Swift;Kobna Holdbrook-Smith;Dick Van Dyke;Angela Lansbury;David Warner,130000000,130,82940923
5,Hellboy ,,"Action; 
Adventure; 
Fantasy",12 April 2019,,Neil Marshall,David Harbour;Milla Jovovich;Sasha Lane;Penelope Mitchell;Ian McShane;Daniel Dae Kim;Ashley Edner;Thomas Haden Church;Sophie Okonedo;Brian Gleeson;Kristina Klebe;Alistair Petrie;Vanessa Eichholz;Douglas Tait;Laila Morse,,,
6,Roma ,PG,Drama,21 November 2018,8.3,Alfonso Cuarón,Yalitza Aparicio;Marina de Tavira;Diego Cortina Autrey;Carlos Peralta;Marco Graf;Daniela Demesa;Nancy García García;Verónica García;Andy Cortés;Fernando Grediaga;Jorge Antonio Guerrero;José Manuel Guerrero Mendoza;Latin Lover;Zarela Lizbeth Chinolla Arellano;José Luis López Gómez,,135,
7,Mortal Engines ,PG,"Action; 
Adventure; 
Fantasy",14 December 2018,6.4,Christian Rivers,Hera Hilmar;Robert Sheehan;Hugo Weaving;Jihae;Ronan Raftery;Leila George;Patrick Malahide;Stephen Lang;Colin Salmon;Mark Mitchinson;Regé-Jean Page;Menik Gooneratne;Frankie Adams;Leifur Sigurdarson;Kahn West,100000000,128,55598985
8,Creed II ,PG,"Drama; 
Sport",21 November 2018,7.7,Steven Caple Jr.,Michael B. Jordan;Sylvester Stallone;Tessa Thompson;Phylicia Rashad;Dolph Lundgren;Florian Munteanu;Russell Hornsby;Wood Harris;Milo Ventimiglia;Robbie Johns;Andre Ward;Brigitte Nielsen;Patrice Harris;Jacob 'Stitch' Duran;Ana Gerena,50000000,130,138432925
9,The Mule ,,"Crime; 
Drama; 
Mystery",14 December 2018,7.2,Clint Eastwood,Clint Eastwood;Bradley Cooper;Taissa Farmiga;Alison Eastwood;Michael Peña;Andy Garcia;Laurence Fishburne;Dianne Wiest;Ignacio Serricchio;Jill Flint;Clifton Collins Jr.;Robert LaSardo;Noel Gugliemi;Katie Gill;Manny Montana,50000000,116,
