,babynysiis,perc_female,perc_male,gender
0,,62.5,37.5,F
1,RAX,63.64,36.36,F
2,ESAR,44.44,55.56,M
3,DJANG,0.0,100.0,M
4,PARCAL,25.0,75.0,M
5,VALCARY,100.0,0.0,F
6,FRANCASC,63.64,36.36,F
7,CABAT,50.0,50.0,N
8,XANDAR,16.67,83.33,M
9,RACSAN,33.33,66.67,M
10,LATAFAN,0.0,100.0,M
11,ALNAT,100.0,0.0,F
12,ELAS,79.09,20.91,F
13,VATAS,100.0,0.0,F
14,ZYAN,60.0,40.0,F
15,YASACAR,0.0,100.0,M
16,BRYDAN,28.57,71.43,M
17,CAPRY,66.67,33.33,F
18,SWYN,0.0,100.0,M
19,SANARY,72.73,27.27,F
20,OGRAT,100.0,0.0,F
21,TASL,66.67,33.33,F
22,ARASAL,100.0,0.0,F
23,DALANCY,50.0,50.0,N
24,SANTFAD,0.0,100.0,M
25,LANYN,50.0,50.0,N
26,CRASTAS,100.0,0.0,F
27,TANARC,0.0,100.0,M
28,LASAJ,100.0,0.0,F
29,HATSAC,100.0,0.0,F
30,YATARTH,0.0,100.0,M
31,CANTAV,40.0,60.0,M
32,GLANRAS,100.0,0.0,F
33,THRASY,100.0,0.0,F
34,INGALF,0.0,100.0,M
35,CARLAGH,100.0,0.0,F
36,DAFARLY,100.0,0.0,F
37,CYSLY,100.0,0.0,F
38,HARSTAN,0.0,100.0,M
39,BASAT,50.0,50.0,N
40,INSY,100.0,0.0,F
41,ATN,100.0,0.0,F
42,CARL,57.95,42.05,F
43,TASALAN,66.67,33.33,F
44,FARDAC,0.0,100.0,M
45,PANTAL,0.0,100.0,M
46,RABARTH,0.0,100.0,M
47,XCARAT,100.0,0.0,F
48,OCATH,0.0,100.0,M
49,OGDAN,0.0,100.0,M
50,ELT,100.0,0.0,F
51,TSATAC,100.0,0.0,F
52,MANTARY,100.0,0.0,F
53,DARAJ,0.0,100.0,M
54,EXY,50.0,50.0,N
55,AHNARAN,0.0,100.0,M
56,FALABART,0.0,100.0,M
57,TANYAC,0.0,100.0,M
58,LAXANDR,50.0,50.0,N
59,PYSLY,100.0,0.0,F
60,MADYSAN,100.0,0.0,F
61,ARWAL,100.0,0.0,F
62,RABARN,0.0,100.0,M
63,NASWAN,0.0,100.0,M
64,JAPT,0.0,100.0,M
65,JATARAN,0.0,100.0,M
66,TYAT,100.0,0.0,F
67,ABACAR,0.0,100.0,M
68,LANGFAD,0.0,100.0,M
69,VANYAC,0.0,100.0,M
70,QALAD,0.0,100.0,M
71,SAFASTAN,0.0,100.0,M
72,PARCAN,0.0,100.0,M
73,CASTALAN,100.0,0.0,F
74,SBRAN,100.0,0.0,F
75,CLARCY,100.0,0.0,F
76,CLANANC,66.67,33.33,F
77,ALAXSAVAR,0.0,100.0,M
78,HANVAC,100.0,0.0,F
79,JANACG,100.0,0.0,F
80,WANTR,100.0,0.0,F
81,FRANCASTAR,100.0,0.0,F
82,OBAD,12.5,87.5,M
83,ZANBALAST,0.0,100.0,M
84,URN,100.0,0.0,F
85,SACLAL,100.0,0.0,F
86,PYCAN,50.0,50.0,N
87,AGAVAN,0.0,100.0,M
88,RABANAT,100.0,0.0,F
89,CYSLAN,100.0,0.0,F
90,MADSAN,75.0,25.0,F
91,WASLY,33.33,66.67,M
92,AJYCAN,0.0,100.0,M
93,ANDRANACAL,0.0,100.0,M
94,SAGHN,50.0,50.0,N
95,OWAD,100.0,0.0,F
96,ANYR,80.0,20.0,F
97,ALGARAN,100.0,0.0,F
98,OLATANASAN,50.0,50.0,N
99,ACRAN,0.0,100.0,M
100,ED,52.38,47.62,F
101,ABSAR,0.0,100.0,M
102,VAGN,0.0,100.0,M
103,JAGANTAN,0.0,100.0,M
104,CADAF,0.0,100.0,M
105,BALTASAR,0.0,100.0,M
106,SANCY,0.0,100.0,M
107,ALAXAN,85.71,14.290000000000004,F
108,MALACHY,0.0,100.0,M
109,FALSAN,50.0,50.0,N
110,DANTAT,0.0,100.0,M
111,ARCABALD,0.0,100.0,M
112,HASALTAN,100.0,0.0,F
113,ENGAL,0.0,100.0,M
114,AFTAN,85.71,14.290000000000004,F
115,BABL,100.0,0.0,F
116,CASAC,46.15,53.85,M
117,BRANTNY,100.0,0.0,F
118,USN,100.0,0.0,F
119,WAGBART,0.0,100.0,M
120,QAR,100.0,0.0,F
121,NABH,0.0,100.0,M
122,ABABACARY,0.0,100.0,M
